datetime,DPW,PEMA,PHA,RSD
2025-01-24 01:00:00,24.03885,24.48003333333333,25.549,3.1451626105036303
2025-01-24 02:00:00,24.741566666666664,25.93003333333333,26.0627,2.844189382146828
2025-01-24 10:00:00,30.395249999999997,29.959583333333335,30.525333333333332,0.9781365157466665
2025-01-25 10:00:00,26.20606666666667,27.627216666666666,27.7733,3.1826793499601034
2025-01-25 11:00:00,27.0677,26.494333333333334,27.828950000000003,2.4677506601809718
2025-01-25 12:00:00,27.539933333333334,27.012433333333334,27.963,1.7314538514500926
2025-01-26 01:00:00,20.934233333333335,21.92805,22.448333333333334,3.5336939528121167
2025-01-26 02:00:00,22.011016666666666,22.544766666666664,23.25195,2.7540368247153757
2025-01-26 12:00:00,19.08788333333333,19.912249999999997,20.37515,3.294486231850211
2025-01-26 18:00:00,8.483483333333334,8.698266666666665,8.256,2.6082934461792817
2025-01-27 14:00:00,13.99845,14.71835,14.074666666666667,2.7725595892701853
2025-01-27 18:00:00,5.797333333333333,6.089533333333334,5.7892166666666665,2.90380449065632
2025-01-29 10:00:00,28.771866666666664,28.299666666666667,29.26455,1.6765107348820474
2025-01-29 19:00:00,9.749333333333334,9.236766666666666,9.267833333333334,3.051423983208573
2025-01-30 16:00:00,8.545583333333333,8.916500000000001,9.04655,2.941928951765719
2025-01-30 19:00:00,9.05275,9.512583333333334,9.008583333333332,3.036671021101939
2025-01-31 01:00:00,30.69485,32.478950000000005,31.043383333333335,3.011023429958909
2025-02-01 06:00:00,7.26835,7.297983333333334,7.291783333333333,0.21451357234117327
2025-02-01 07:00:00,7.28765,7.614466666666667,7.28955,2.543408870824395
2025-02-01 08:00:00,7.288033333333334,7.292166666666666,7.289283333333333,0.029078468212388818
2025-02-01 09:00:00,7.288466666666666,7.29455,7.290583333333333,0.042355090607369264
2025-02-01 10:00:00,7.2901,7.297383333333333,7.291666666666667,0.05256592792345553
2025-02-02 11:00:00,20.845433333333332,21.8538,21.574316666666668,2.429955617330251
2025-02-03 05:00:00,24.122216666666667,23.266866666666665,24.156299999999998,2.113192033052988
2025-02-03 09:00:00,27.573449999999998,27.412,29.0001,3.122034398883463
2025-02-03 10:00:00,31.38945,30.59,29.7939,2.6078668354217704
2025-02-03 11:00:00,31.62888333333333,31.090266666666665,30.6284,1.609250813820739
2025-02-04 08:00:00,19.642466666666667,20.443266666666666,20.519433333333332,2.404866633647433
2025-02-04 10:00:00,23.750833333333333,24.212,24.922483333333332,2.429417198964213
2025-02-05 15:00:00,8.49795,8.707983333333335,8.729183333333333,1.4785704070414292
2025-02-05 16:00:00,9.32035,9.414883333333334,9.081666666666667,1.8520361511153822
2025-02-05 21:00:00,9.172483333333334,9.469266666666666,9.668483333333334,2.644918642766688
2025-02-06 23:00:00,7.28915,7.694416666666667,7.289516666666667,3.150103287018407
2025-02-07 00:00:00,7.289633333333333,7.423616666666666,7.289983333333334,1.053315314730797
2025-02-07 01:00:00,7.28995,7.291816666666667,7.29,0.014588404604674818
2025-02-07 02:00:00,7.289466666666667,7.291083333333334,7.28945,0.012870112432592009
2025-02-07 03:00:00,7.291650000000001,7.297333333333333,7.291933333333334,0.04390973576397794
2025-02-07 04:00:00,7.293466666666666,7.298816666666667,7.292633333333333,0.045995484174765684
